,TAC ID,FishStock,FishStockTAC,count_x,speciesAcronym,area,count_y,_merge
0,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.a,3,both
1,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.b,3,both
2,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.c.1,3,both
3,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.c.2,3,both
4,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.d,3,both
5,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.e,3,both
6,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.f,3,both
7,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.g,3,both
8,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.h,3,both
9,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.j.1,3,both
10,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.j.2,3,both
11,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.k.1,3,both
12,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.k.2,3,both
13,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.a,3,both
14,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.b,3,both
15,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.d.1,3,both
16,(ANF/07.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.d.2,3,both
17,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.a,3,both
18,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.b,3,both
19,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.c.1,3,both
20,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.c.2,3,both
21,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.d,3,both
22,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.e,3,both
23,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.f,3,both
24,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.g,3,both
25,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.h,3,both
26,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.j.1,3,both
27,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.j.2,3,both
28,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.k.1,3,both
29,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.7.k.2,3,both
30,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.a,3,both
31,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.b,3,both
32,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.d.1,3,both
33,(ANF/8ABDE.),mon.27.78abd,mon.27.78abd + ank.27.78abd,3.0,mon,27.8.d.2,3,both
34,(ANF/8C3411),mon.27.8c9a,ank.27.8c9a + mon.27.8c9a,3.0,mon,27.8.c,3,both
